id;variant_code;name_ar;name_en;barcode;cost_price;sale_price;total_quantity;total_sale_price;total_cost_price;صناع السعاده / سان ستيفانو
16292;;فستق 250 جرام;فستق 250 جرام;1010049;0.00;215.00;0;0.00;0.00;0
16291;;فستق 150 جرام;فستق 150 جرام;1010048;0.00;127.00;0;0.00;0.00;0
16290;;قمر الدين مكه ;قمر الدين مكه ;6225000394841;70.00;78.95;0;0.00;0.00;0
16289;;قمر الدين وفير 400 جم;قمر الدين وفير 400 جم;6214811206016;95.00;92.11;0;0.00;0.00;0
16288;;سوبيا الرحماني 400 جم;سوبيا الرحماني 400 جم;6222043214303;67.50;74.56;0;0.00;0.00;0
16287;;سحلب كان 400  جرام;سحلب كان 400  جرام;6224009819553;55.00;61.40;0;0.00;0.00;0
16286;;شوكولاتة اسبريسو ميسيزكو قطع 1600 جم * 4 ق;شوكولاتة اسبريسو ميسيزكو قطع 1600 جم * 4 ق;5900353244104;0.00;0.00;0;0.00;0.00;0
16285;;برو بروتين لاب دارك شوكليت فراولة 20جم  *12ع *12 ق;برو بروتين لاب دارك شوكليت فراولة 20جم  *12ع *12 ق;6224010466357;0.00;0.00;0;0.00;0.00;0
16284;;برو بروتين لاب كوكيز كريمة 20جم  *12ع *12 ق;برو بروتين لاب كوكيز كريمة 20جم  *12ع *12 ق;6224010466272;0.00;0.00;0;0.00;0.00;0
16283;;برو بروتين لاب موكا 20جم  *12ع *12 ق;برو بروتين لاب موكا 20جم  *12ع *12 ق;6224010466333;0.00;0.00;0;0.00;0.00;0
16282;;برو بروتين لاب لوتس 20جم  *12ع *12 ق;برو بروتين لاب لوتس 20جم  *12ع *12 ق;6224010466340;0.00;0.00;0;0.00;0.00;0
16281;;بسكوت كولكي جوبلانا كيس مكسرات دارك  140جم *10 ق ;بسكوت كولكي جوبلانا كيس مكسرات دارك  140جم *10 ق ;5900394011215;0.00;0.00;0;0.00;0.00;0
16280;;بسكوت كولكي جوبلانا كيس مكسرات ميلك  140جم *10 ق ;بسكوت كولكي جوبلانا كيس مكسرات ميلك  140جم *10 ق ;5900394011208;0.00;0.00;0;0.00;0.00;0
16279;;كوكيز كولكي جوبلانا كراميل مملح 140جم * 20 ق ;كوكيز كولكي جوبلانا كراميل مملح 140جم * 20 ق ;5900352016320;0.00;0.00;0;0.00;0.00;0
16278;;كوكيز كولكي جوبلانا جوز هند 140جم * 20 ق ;كوكيز كولكي جوبلانا جوز هند 140جم * 20 ق ;5900352016214;0.00;0.00;0;0.00;0.00;0
16277;;كوكيز كولكي جوبلانا كلاسيك140جم * 20 ق ;كوكيز كولكي جوبلانا كلاسيك140جم * 20 ق ;5900352016191;0.00;0.00;0;0.00;0.00;0
16276;;كوكيز جيزيكي جوبلانا برتقال 140جم * 20 ق ;كوكيز جيزيكي جوبلانا برتقال 140جم * 20 ق ;5900352014890;0.00;0.00;0;0.00;0.00;0
16275;;كوكيز جيزيكي جوبلانا قهوة 140جم * 20 ق ;كوكيز جيزيكي جوبلانا قهوة 140جم * 20 ق ;5900352004457;0.00;0.00;0;0.00;0.00;0
16274;;كوكيز جيزيكي جوبلانا كراميل 140جم * 20 ق ;كوكيز جيزيكي جوبلانا كراميل 140جم * 20 ق ;5900352015125;0.00;0.00;0;0.00;0.00;0
16273;;كوكيز جيزيكي جوبلانا جوز هند 140جم * 20 ق;كوكيز جيزيكي جوبلانا جوز هند 140جم * 20 ق;5900352004044;0.00;0.00;0;0.00;0.00;0
16272;;كوكيز جيزيكي جوبلانا افوكادو 140جم * 20 ق ;كوكيز جيزيكي جوبلانا افوكادو 140جم * 20 ق ;5900352008509;0.00;0.00;0;0.00;0.00;0
16271;;كوكيز جيزيكي جوبلانا كريز  140جم * 20 ق ;كوكيز جيزيكي جوبلانا كريز  140جم * 20 ق ;5900352011356;0.00;0.00;0;0.00;0.00;0
16270;;كوكيز جيزيكي جوبلانا كلاسيك 140جم * 20 ق ;كوكيز جيزيكي جوبلانا كلاسيك 140جم * 20 ق ;5900352002361;0.00;0.00;0;0.00;0.00;0
16269;;كانز في سفن ليمون فراولة 300 مل * 24 ق;كانز في سفن ليمون فراولة 300 مل * 24 ق;6224011241564;0.00;0.00;0;0.00;0.00;0
16268;;كانز في سفن كولا دايت 300 مل * 24 ق;كانز في سفن كولا دايت 300 مل * 24 ق;6224011241427;0.00;0.00;0;0.00;0.00;0
16267;;دوبيو كبسولات بلوند ريستريتو 54 جم * 24 ق;دوبيو كبسولات بلوند ريستريتو 54 جم * 24 ق;795697046034;0.00;0.00;0;0.00;0.00;0
16266;;دوبيو كبسولات اطاليان ستايل روست 54 جم * 24 ق;دوبيو كبسولات اطاليان ستايل روست 54 جم * 24 ق;795697045662;0.00;0.00;0;0.00;0.00;0
16265;;دوبيو كبسولات اروما بليند لونجو 54 جم * 24 ق;دوبيو كبسولات اروما بليند لونجو 54 جم * 24 ق;795697046140;0.00;0.00;0;0.00;0.00;0
16264;;دوبيو كبسولات سبريسو روست 54 جم * 24 ق;دوبيو كبسولات سبريسو روست 54 جم * 24 ق;795697046430;0.00;0.00;0;0.00;0.00;0
16263;;دوبيو كبسولات كولومبيا 54 جم * 24 ق;دوبيو كبسولات كولومبيا 54 جم * 24 ق;795697045501;0.00;0.00;0;0.00;0.00;0
16262;;دوبيو كبسولات كاف فيرونا ريستريتو 54 جم * 24 ق;دوبيو كبسولات كاف فيرونا ريستريتو 54 جم * 24 ق;795697045716;0.00;0.00;0;0.00;0.00;0
